,District_1,District_2
207,barmer/Q42016,jalore/Q1460832
208,jodhpur/Q1434965,pali/Q46925
209,jodhpur/Q1434965,nagaur/Q1507174
210,jodhpur/Q1434965,bikaner/Q778996
211,pali/Q46925,rajsamand/Q596693
212,pali/Q46925,udaipur/Q1321577
213,pali/Q46925,ajmer/Q413037
214,pali/Q46925,sirohi/Q205719
215,jaisalmer/Q1419708,bikaner/Q778996
216,sirohi/Q205719,banaskantha/Q806125
217,sirohi/Q205719,sabarkantha/Q1772856
218,bikaner/Q778996,churu/Q1090006
219,bikaner/Q778996,ganganagar/Q1419696
220,bikaner/Q778996,hanumangarh/Q1356112
221,nagaur/Q1507174,churu/Q1090006
222,nagaur/Q1507174,jaipur/Q1134781
223,nagaur/Q1507174,sikar/Q12945777
224,ajmer/Q413037,rajsamand/Q596693
225,ajmer/Q413037,bhilwara/Q41991
226,ajmer/Q413037,tonk/Q915880
227,rajsamand/Q596693,chittorgarh/Q1075011
228,udaipur/Q1321577,chittorgarh/Q1075011
229,udaipur/Q1321577,dungarpur/Q1265687
230,udaipur/Q1321577,pratapgarh/Q1585433
231,udaipur/Q1321577,aravalli/Q12175285
232,unnao/Q1937875,lucknow/Q1773416
233,unnao/Q1937875,kanpur_nagar/Q2089152
234,unnao/Q1937875,rae_bareli/Q1321157
235,unnao/Q1937875,fatehpur/Q1946829
236,unnao/Q1937875,hardoi/Q1772822
237,hardoi/Q1772822,lucknow/Q1773416
238,hardoi/Q1772822,sitapur/Q1812539
239,hardoi/Q1772822,farrukhabad/Q1897251
240,hardoi/Q1772822,kannauj/Q627979
241,lucknow/Q1773416,rae_bareli/Q1321157
242,lucknow/Q1773416,barabanki/Q633114
243,kanpur_nagar/Q2089152,hamirpur/Q2019757
244,kanpur_nagar/Q2089152,kanpur_dehat/Q610612
245,fatehpur/Q1946829,hamirpur/Q2019757
246,fatehpur/Q1946829,pratapgarh/Q1473962
247,fatehpur/Q1946829,banda/Q2131759
248,fatehpur/Q1946829,kaushambi/Q1946937
249,fatehpur/Q1946829,chitrakoot/Q2089141
250,thiruvananthapuram/Q162612,kollam/Q1356124
251,thiruvananthapuram/Q162612,kanyakumari/Q15158
252,thiruvananthapuram/Q162612,tirunelveli/Q15200
253,idukki/Q301821,ernakulam/Q1356097
254,idukki/Q301821,virudhunagar/Q15209
255,idukki/Q301821,kottayam/Q1353354
256,idukki/Q301821,theni/Q15196
257,idukki/Q301821,dindigul/Q15154
258,idukki/Q301821,tiruppur/Q15202
259,idukki/Q301821,coimbatore/Q15136
260,idukki/Q301821,pathanamthitta/Q634935
261,kollam/Q1356124,pathanamthitta/Q634935
262,kollam/Q1356124,alappuzha/Q928959
263,tiruppur/Q15202,erode/Q15155
264,tiruppur/Q15202,karur/Q15182
265,ernakulam/Q1356097,thrissur/Q2429655
266,kottayam/Q1353354,pathanamthitta/Q634935
267,thrissur/Q2429655,palakkad/Q1535742
268,kallakurichi/Q60493360,perambalur/Q15186
269,kallakurichi/Q60493360,tiruvannamalai/Q15207
270,kallakurichi/Q60493360,viluppuram/Q15205
271,kallakurichi/Q60493360,salem/Q15192
272,kallakurichi/Q60493360,cuddalore/Q15150
273,kallakurichi/Q60493360,dharmapuri/Q15152
274,krishnagiri/Q15183,bengaluru_urban/Q806463
275,krishnagiri/Q15183,kolar/Q2509866
276,krishnagiri/Q15183,ramanagara/Q427679
277,krishnagiri/Q15183,bengaluru_rural/Q806464
278,krishnagiri/Q15183,vellore/Q15206
279,krishnagiri/Q15183,chittoor/Q15213
